ID_Mahasiswa (NIM/Nama),Gender,IPS_Sem1,IPS_Sem2,IPS_Sem3,IPS_Sem4,Total_SKS_Ambil,Total_SKS_Lulus,Nilai_Matkul_Killer,Jml_Mengulang,Status_Beasiswa,Bekerja
20220451813 - Reza Akbar,Laki-laki,3.45,3.20,2.82,2.91,92,92,78,0,Tidak,Ya
20220454389 - Doni Ananda,Laki-laki,2.84,2.89,3.02,3.00,75,75,78,0,Tidak,Tidak
20230454383 - Siti Salsabila,Perempuan,3.38,3.23,3.89,4.00,94,94,88,0,Ya,Tidak
20230454055 - Galih Syahputra,Laki-laki,2.94,2.83,2.58,2.81,80,74,54,2,Tidak,Ya
20220456392 - Fira Sari,Perempuan,3.35,3.41,3.01,3.09,87,84,73,1,Tidak,Tidak
20230453739 - Tiara Hidayat,Perempuan,2.31,2.25,2.44,2.45,74,62,45,3,Tidak,Tidak
20220457042 - Bagas Aprilia,Laki-laki,3.19,3.61,3.32,3.70,93,93,73,0,Tidak,Ya
20230459984 - Fajar Wijaya,Laki-laki,3.41,3.20,3.59,3.40,94,90,75,1,Tidak,Tidak
20230451130 - Reza Rahman,Laki-laki,2.62,2.64,2.32,2.33,77,71,61,2,Tidak,Tidak
20230458223 - Nisa Sari,Perempuan,2.89,2.93,3.16,3.31,83,83,76,0,Tidak,Tidak
20230457394 - Fauzan Putra,Laki-laki,2.80,2.65,2.81,3.39,82,82,74,0,Tidak,Tidak
20230458214 - Nabila Febrianti,Perempuan,3.42,3.10,3.54,3.64,95,92,70,1,Tidak,Ya
20220455771 - Nadia Yusuf,Perempuan,3.14,3.12,3.33,3.28,88,88,72,0,Tidak,Tidak
20230451980 - Siti Wijaya,Perempuan,3.52,3.61,3.79,3.56,91,91,84,0,Tidak,Tidak
20230452553 - Zahra Permata,Perempuan,3.86,3.95,3.94,3.59,89,89,94,0,Tidak,Tidak
20220452738 - Galih Syahputra,Laki-laki,2.54,2.46,2.57,2.45,82,82,72,0,Tidak,Tidak
20230459590 - Intan Syahputra,Perempuan,1.89,2.25,2.02,2.30,68,64,57,2,Tidak,Ya
20230455297 - Ahmad Permata,Laki-laki,3.88,4.00,4.00,4.00,89,86,84,1,Ya,Tidak
20220452354 - Budi Akbar,Laki-laki,3.24,2.57,3.07,2.94,76,74,72,1,Tidak,Ya
20220457853 - Rani Permata,Perempuan,3.32,3.12,3.14,3.20,88,88,76,0,Tidak,Ya
20220455243 - Arif Saputra,Laki-laki,2.35,2.56,2.37,2.77,87,78,51,3,Tidak,Tidak
20230455878 - Bayu Maharani,Laki-laki,2.21,2.36,2.24,1.86,77,71,42,3,Tidak,Tidak
20230452689 - Aulia Wijaya,Perempuan,3.97,3.59,3.73,4.00,92,92,89,0,Tidak,Tidak
20230457068 - Ilham Maulana,Laki-laki,3.18,2.53,2.69,2.71,74,70,68,1,Tidak,Tidak
20220459104 - Aisyah Sari,Perempuan,3.27,3.24,3.65,3.47,93,93,88,0,Tidak,Tidak
20220454172 - Joko Purnama,Laki-laki,3.46,3.51,3.59,4.00,93,93,80,0,Ya,Ya
20230454083 - Ilham Ramadhan,Laki-laki,2.66,2.64,2.47,2.64,82,78,62,1,Tidak,Tidak
20220454277 - Nabila Setiawan,Perempuan,2.85,3.27,2.60,2.32,80,78,62,1,Tidak,Tidak
20230456887 - Tasya Akbar,Perempuan,2.55,2.40,2.22,2.03,76,74,66,1,Tidak,Tidak
